67,70,34,2.0,6.1,0
11,65,91,2.6,6.1,0
134,52,23,3.2,6.1,0
253,85,124,3.8,6.1,0
162,222,79,4.4,6.1,0
224,106,217,5.0,6.1,0
81,75,83,5.6,6.1,0
97,68,100,6.2,6.1,0
170,122,135,6.8,6.1,0
93,188,103,7.4,6.1,0
166,195,191,8.0,6.1,0
104,68,100,8.6,6.1,0
211,105,47,9.2,6.1,0
18,75,121,9.8,6.1,0
90,222,137,10.4,6.1,0
2,2,45,11.0,6.1,0
94,66,22,2.0,7.1,0
207,116,146,2.6,7.1,0
62,114,225,3.2,7.1,0
74,195,19,3.8,7.1,0
22,32,34,4.4,7.1,0
153,68,53,5.0,7.1,0
51,234,189,5.6,7.1,0
72,102,196,6.2,7.1,0
112,249,100,6.8,7.1,0
202,198,227,7.4,7.1,0
223,49,49,8.0,7.1,0
245,210,138,8.6,7.1,0
110,162,14,9.2,7.1,0
157,253,75,9.8,7.1,0
20,31,112,10.4,7.1,0
115,83,97,11.0,7.1,0
200,119,11,2.0,8.1,0
5,218,180,2.6,8.1,0
83,61,161,3.2,8.1,0
123,99,71,3.8,8.1,0
50,172,143,4.4,8.1,0
226,74,229,5.0,8.1,0
116,155,183,5.6,8.1,0
31,4,194,6.2,8.1,0
40,220,21,6.8,8.1,0
1,64,226,7.4,8.1,0
244,67,63,8.0,8.1,0
116,82,216,8.6,8.1,0
171,126,3,9.2,8.1,0
67,233,83,9.8,8.1,0
177,109,64,10.4,8.1,0
148,126,45,11.0,8.1,0
151,79,178,2.0,9.1,0
228,62,125,2.6,9.1,0
250,1,230,3.2,9.1,0
140,158,13,3.8,9.1,0
174,252,150,4.4,9.1,0
195,140,50,5.0,9.1,0
113,216,10,5.6,9.1,0
17,216,165,6.2,9.1,0
189,150,166,6.8,9.1,0
71,115,174,7.4,9.1,0
216,213,128,8.0,9.1,0
4,118,21,8.6,9.1,0
211,109,164,9.2,9.1,0
3,69,201,9.8,9.1,0
135,142,4,10.4,9.1,0
236,245,5,11.0,9.1,0
219,158,251,2.0,10.1,0
204,199,75,2.6,10.1,0
28,96,226,3.2,10.1,0
176,95,201,3.8,10.1,0
224,166,21,4.4,10.1,0
212,223,101,5.0,10.1,0
40,7,232,5.6,10.1,0
203,195,90,6.2,10.1,0
16,169,217,6.8,10.1,0
54,148,238,7.4,10.1,0
197,138,105,8.0,10.1,0
36,46,71,8.6,10.1,0
64,243,147,9.2,10.1,0
53,99,27,9.8,10.1,0
141,236,99,10.4,10.1,0
203,238,59,11.0,10.1,0
67,70,34,-0.423253643769,-5.65278017228,1
11,65,91,-1.15946997494,-5.29589336154,1
134,52,23,-1.7571455697,-4.8282527332,1
253,85,124,-2.19976085613,-4.29244291152,1
162,222,79,-2.4883450903,-3.72602167293,1
224,106,217,-2.63517566232,-3.15765049057,1
81,75,83,-2.65791380987,-2.60671347345,1
97,68,100,-2.5754686731,-2.0848121278,1
170,122,135,15.846914679,-1.59781336721,1
93,188,103,15.0213251207,-1.14773075207,1
166,195,191,14.3409944997,-0.73418296075,1
104,68,100,13.7909557493,-0.355419329278,1
211,105,47,13.3566356783,-0.00899486060175,1
18,75,121,13.0245191631,0.307808170013,1
90,222,137,12.7824262181,0.597729924907,1
2,2,45,12.6195690495,0.863393406544,1
94,66,22,-0.0219534696993,-4.72842779774,1
207,116,146,-0.565779094611,-4.47487981467,1
62,114,225,-1.024,-4.132,1
74,195,19,-1.38073927498,-3.72404455666,1
22,32,34,-1.62990418198,-3.27498219546,1
153,68,53,-1.77317152127,-2.80576334986,1
51,234,189,-1.81741878188,-2.33302171174,1
